PMC accession number (PMCID),Paragraph,IUPAC name,SMILES,1H NMR text,13C NMR text,1H NMR conditions,1H NMR chemical shifts,13C NMR conditions,13C NMR chemical shifts,PMID,Article Citation,Journal Name,Article publication time,License,LastUpdated (YYYY-MM-DD HH:MM:SS),Retracted
PMC10089100,"4.1.1 2-(4-Methylphenyl)-4,5-diphenyl-1H-imidazole (4a) White solid; yield: 95%; 1H NMR (400 MHz, DMSO-d6) 12.57 (s, 1H), 7.97–7.95 (d, J = 8.25 Hz, 2H), 7.52–7.49 (d, J = 7.15 Hz, 4H), 7.35–7.24 (m, 8H), 2.31 (s, 3H). 13C NMR (100 MHz, DMSO-d6) δ 146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42; anal. calcd for C22H20N2: C, 84.58; H, 6.45; N, 8.97; found C, 84.55; H, 6.43; N, 8.95.","2-(4-Methylphenyl)-4,5-diphenyl-1H-imidazole",CC1=CC=C(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2)C=C1,"1H NMR (400 MHz, DMSO-d6) 12.57 (s, 1H), 7.97–7.95 (d, J = 8.25 Hz, 2H), 7.52–7.49 (d, J = 7.15 Hz, 4H), 7.35–7.24 (m, 8H), 2.31 (s, 3H)","13C NMR (100 MHz, DMSO-d6) δ 146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42","400 MHz, DMSO-d6","12.57 (s, 1H), 7.97–7.95 (d, J = 8.25 Hz, 2H), 7.52–7.49 (d, J = 7.15 Hz, 4H), 7.35–7.24 (m, 8H), 2.31 (s, 3H)","100 MHz, DMSO-d6","146.24, 138.23, 129.78, 128.92, 128.23, 127.59, 125.74, 21.42",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC10155833,"A 5-mL microwave vial was charged with 4-bromo-2-pyridinecarboxylic acid (0.10 g, 0.498 mmol), 4-propylaniline (70.8 μL, 0.498 mmol), lithium amide (57.1 mg, 2.49 mmol), and 1,4-dioxane (5 mL). The vial was heated in the microwave for 5 min at 200°C and thereafter, cooled to room temperature. The reaction mixture was quenched by adding a solution of saturated aqueous ammonium chloride (30 mL) and extracted with chloroform (4 × 20 mL). The combined organic layers were washed with brine, dried over anhydrous sodium sulfate, and concentrated in vacuo. The residue was purified by silica gel column chromatography (chloroform/10% acetic acid in methanol [100/0 → 90/10]) to give 4-((4-propylphenyl)amino)picolinic acid (A2ARPAM-2, 76.3 g, 60%, Figure 1A) as a brown solid: IR (KBr) 3034, 2956, 1666, 1546, 1391, 1295, 791 cm−1; 1H NMR (400 MHz, CD3OD) δ 0.97 (t, 3H, J = 7.3 Hz), 1.68 (tq, 2H, J = 7.3, 7.3 Hz), 2.66 (t, 2H, J = 7.3 Hz), 7.26 (dd, 1H, J = 2.3, 7.3 Hz), 7.32 (d, 2H, J = 8.2 Hz), 7.37 (d, 2H, J = 8.2 Hz), 7.48 (d, 1H, J = 2.3 Hz), 8.32 (d, 1H, J = 7.3 Hz); 13C NMR (100 MHz, CD3OD) 14.1, 25.7, 38.5, 124.5, 127.6, 128.8, 129.7, 130.9, 131.5, 137.3, 141.5, 147.5, 166.6; Anal. Calcd for C15H16N2O2: C, 69.80; H, 6.33; N, 10.85; O, 13.02. found: C, 69.72; H, 6.40; N, 10.91; O, 12.97.",4-((4-propylphenyl)amino)picolinic acid,O=C(O)C1=NC=CC(NC2=CC=C(CCC)C=C2)=C1,"1H NMR (400 MHz, CD3OD) δ 0.97 (t, 3H, J = 7.3 Hz), 1.68 (tq, 2H, J = 7.3, 7.3 Hz), 2.66 (t, 2H, J = 7.3 Hz), 7.26 (dd, 1H, J = 2.3, 7.3 Hz), 7.32 (d, 2H, J = 8.2 Hz), 7.37 (d, 2H, J = 8.2 Hz), 7.48 (d, 1H, J = 2.3 Hz), 8.32 (d, 1H, J = 7.3 Hz)","13C NMR (100 MHz, CD3OD) 14.1, 25.7, 38.5, 124.5, 127.6, 128.8, 129.7, 130.9, 131.5, 137.3, 141.5, 147.5, 166.6","400 MHz, CD3OD","0.97 (t, 3H, J = 7.3 Hz), 1.68 (tq, 2H, J = 7.3, 7.3 Hz), 2.66 (t, 2H, J = 7.3 Hz), 7.26 (dd, 1H, J = 2.3, 7.3 Hz), 7.32 (d, 2H, J = 8.2 Hz), 7.37 (d, 2H, J = 8.2 Hz), 7.48 (d, 1H, J = 2.3 Hz), 8.32 (d, 1H, J = 7.3 Hz)","100 MHz, CD3OD","14.1, 25.7, 38.5, 124.5, 127.6, 128.8, 129.7, 130.9, 131.5, 137.3, 141.5, 147.5, 166.6",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC6151496,"(S)-2,2,2-Trifluoro-N-(1-oxo-1-phenylhexan-2-yl)acetamide (TFA-l-Nle-Ph, l-8c): Colorless oil. [α]D = +60 (c 0.5, CHCl3). IR (neat) ν: 3326, 3068, 2960, 1728, 1687 cm−1. 1H-NMR (270 MHz, CDCl3) δ: 7.98 (d, J = 7.4 Hz, 2H, Ar-H), 7.66 (t, J = 7.4 Hz, 1H, Ar-H), 7.53 (t, J = 7.4 Hz, 2H, Ar-H), 7.46 (br s, 1H, NH), 5.61 (td, J = 7.3, 4.6 Hz, 1H, CHNH), 2.12–1.98 (m, 1H, CHCH2), 1.77–1.63 (m, 1H, CHCH2), 1.41–1.15 (m, 4H, 2 × CH2), 0.83 (t, J = 6.9 Hz, 3H, CH2CH3) ppm. 13C-NMR (67.5 MHz, CDCl3) δ: 197.0, 156.8 (q, 2JCF = 37.4 Hz), 134.4, 133.6, 129.0 (2 × CH), 128.6 (2 × CH), 115.8 (q, 1JCF = 287.7 Hz), 54.5, 32.7, 26.7, 22.2, 13.6 ppm. HRMS-ESI (m/z) [M + H]+ calcd for C14H17F3NO2 288.1211, found 288.1224.","(S)-2,2,2-Trifluoro-N-(1-oxo-1-phenylhexan-2-yl)acetamide",O=C(N[C@@H](CCCC)C(C1=CC=CC=C1)=O)C(F)(F)F,"1H-NMR (270 MHz, CDCl3) δ: 7.98 (d, J = 7.4 Hz, 2H, Ar-H), 7.66 (t, J = 7.4 Hz, 1H, Ar-H), 7.53 (t, J = 7.4 Hz, 2H, Ar-H), 7.46 (br s, 1H, NH), 5.61 (td, J = 7.3, 4.6 Hz, 1H, CHNH), 2.12–1.98 (m, 1H, CHCH2), 1.77–1.63 (m, 1H, CHCH2), 1.41–1.15 (m, 4H, 2 × CH2), 0.83 (t, J = 6.9 Hz, 3H, CH2CH3) ppm.","13C-NMR (67.5 MHz, CDCl3) δ: 197.0, 156.8 (q, 2JCF = 37.4 Hz), 134.4, 133.6, 129.0 (2 × CH), 128.6 (2 × CH), 115.8 (q, 1JCF = 287.7 Hz), 54.5, 32.7, 26.7, 22.2, 13.6 ppm.","270 MHz, CDCl3","7.98 (d, J = 7.4 Hz, 2H, Ar-H), 7.66 (t, J = 7.4 Hz, 1H, Ar-H), 7.53 (t, J = 7.4 Hz, 2H, Ar-H), 7.46 (br s, 1H, NH), 5.61 (td, J = 7.3, 4.6 Hz, 1H, CHNH), 2.12–1.98 (m, 1H, CHCH2), 1.77–1.63 (m, 1H, CHCH2), 1.41–1.15 (m, 4H, 2 × CH2), 0.83 (t, J = 6.9 Hz, 3H, CH2CH3)","67.5 MHz, CDCl3","197.0, 156.8, 134.4, 133.6, 129.0, 128.6, 115.8, 54.5, 32.7, 26.7, 22.2, 13.6",29039791.0,Molecules. 2017 Oct 17; 22(10):1748,Molecules,2017.0,CC BY,2021-01-05 20:54:21,no
PMC10096818,"3.2.2. (±)-Ethyl 2-(acetoxy(5-chloro-2-fluorophenyl)methyl)acrylate (16) Yield: 2.16 g (93%) as a yellow oil; IR: 1753, 1725, 1637 cm−1; 1H NMR (400 MHz, CDCl3): δ 7.30 (m, 1H), 7.25 (m, 1H), 7.00 (t, J = 8.9 Hz, 1H), 6.87 (s, 1H), 6.48 (s, 1H), 5.85 (s, 1H), 4.17 (q, J = 7.1 Hz, 2H), 2.13 (s, 3H), 1.24 (t, J = 7.1 Hz, 3H); 13C NMR (101 MHz, CDCl3): δ 169.0, 164.4, 158.8 (d, J = 250.5 Hz), 138.1, 130.0 (d, J = 8.5 Hz), 129.2 (d, J = 3.4 Hz), 128.8 (d, J = 3.6 Hz), 127.1 (d, J = 15.1 Hz), 126.9, 117.1 (d, J = 23.6 Hz), 66.9 (d, J = 2.9 Hz), 61.2, 20.8, 13.9; MS (m/z): 300 (M+); Anal. Calcd for C14H14ClFO4: C, 55.92; H, 4.69. Found: C, 55.84; H, 4.66.",(±)-Ethyl 2-(acetoxy(5-chloro-2-fluorophenyl)methyl)acrylate,N/A,"1H NMR (400 MHz, CDCl3): δ 7.30 (m, 1H), 7.25 (m, 1H), 7.00 (t, J = 8.9 Hz, 1H), 6.87 (s, 1H), 6.48 (s, 1H), 5.85 (s, 1H), 4.17 (q, J = 7.1 Hz, 2H), 2.13 (s, 3H), 1.24 (t, J = 7.1 Hz, 3H)","13C NMR (101 MHz, CDCl3): δ 169.0, 164.4, 158.8 (d, J = 250.5 Hz), 138.1, 130.0 (d, J = 8.5 Hz), 129.2 (d, J = 3.4 Hz), 128.8 (d, J = 3.6 Hz), 127.1 (d, J = 15.1 Hz), 126.9, 117.1 (d, J = 23.6 Hz), 66.9 (d, J = 2.9 Hz), 61.2, 20.8, 13.9","400 MHz, CDCl3","7.30 (m, 1H), 7.25 (m, 1H), 7.00 (t, J = 8.9 Hz, 1H), 6.87 (s, 1H), 6.48 (s, 1H), 5.85 (s, 1H), 4.17 (q, J = 7.1 Hz, 2H), 2.13 (s, 3H), 1.24 (t, J = 7.1 Hz, 3H)","101 MHz, CDCl3","169.0, 164.4, 158.8, 138.1, 130.0, 129.2, 128.8, 127.1, 126.9, 117.1, 66.9, 61.2, 20.8, 13.9",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC9230651,"N-(4-Bromophenyl)-2-phenylquinazolin-4-amine (9), white solid, yield: 60%. m.p.: 187–193 °C. 1H-NMR (400 MHz, DMSO-d6) δ 11.47 (s, 1H), 8.88 (d, J = 8.3 Hz, 1H), 8.37 (d, J = 7.3 Hz, 2H), 8.27 (d, J = 8.4 Hz, 1H), 8.09 (t, J = 7.7 Hz, 1H), 7.84 (dd, J = 17.8, 8.2 Hz, 3H), 7.78–7.61 (m, 5H). 13C-NMR (100 MHz, DMSO-d6) δ 158.95, 157.22, 135.95, 133.25, 131.69, 130.16, 129.23, 129.01, 128.63, 128.09, 126.12, 124.65, 120.86, 112.77. HRMS (ESI): m/z calcd for C20H15BrN3 (M + H)+, 376.0449; found, 376.0442.",N-(4-Bromophenyl)-2-phenylquinazolin-4-amine,BrC1=CC=C(NC2=C3C=CC=CC3=NC(C4=CC=CC=C4)=N2)C=C1,"1H-NMR (400 MHz, DMSO-d6) δ 11.47 (s, 1H), 8.88 (d, J = 8.3 Hz, 1H), 8.37 (d, J = 7.3 Hz, 2H), 8.27 (d, J = 8.4 Hz, 1H), 8.09 (t, J = 7.7 Hz, 1H), 7.84 (dd, J = 17.8, 8.2 Hz, 3H), 7.78–7.61 (m, 5H)","13C-NMR (100 MHz, DMSO-d6) δ 158.95, 157.22, 135.95, 133.25, 131.69, 130.16, 129.23, 129.01, 128.63, 128.09, 126.12, 124.65, 120.86, 112.77","400 MHz, DMSO-d6","11.47 (s, 1H), 8.88 (d, J = 8.3 Hz, 1H), 8.37 (d, J = 7.3 Hz, 2H), 8.27 (d, J = 8.4 Hz, 1H), 8.09 (t, J = 7.7 Hz, 1H), 7.84 (dd, J = 17.8, 8.2 Hz, 3H), 7.78–7.61 (m, 5H)","100 MHz, DMSO-d6","158.95, 157.22, 135.95, 133.25, 131.69, 130.16, 129.23, 129.01, 128.63, 128.09, 126.12, 124.65, 120.86, 112.77",35745027.0,Molecules. 2022 Jun 17; 27(12):3906,Molecules,2022.0,CC BY,2022-06-25 23:26:25,no
PMC5677139,"1-(4-((9,9-dimethyl-9H-fluoren-2-yl)(phenyl)amino)phenyl)-3-(3-(triethoxysilyl)propyl)urea (DFPAP-TEOSPU) IR (KBr, cm−1): v = 3342 (N-H), 2975–2887 (CH2CH3), 1646 (C=O), 1596, 1512 (aromatic ring of benzene), 1077 (Si-O-C). 1H NMR (400 MHz, DMSO-d6, ppm): δ = 0.51–0.55 (t, 2); 1.10–1.13 (t, 9); 1.30 (s, 6); 1.42–1.50 (quint, 2); 3.01–3.06 (q, 2); 3.69–3.76 (q, 6); 6.10–6.13 (t, 1); 6.85–6.87 (dd, 1); 6.90–6.97 (m, 5); 7.10 (d, 1); 7.18–7.27 (m, 3); 7.33–7.36 (d, 2); 7.42–7.44 (d, 1); 7.62–7.66 (t, 2); 8.38 (s, 1). 13C NMR (100 Hz, DMSO-d 6, δ, ppm): 7.7 (Cc), 18.7 (Ca), 23.8 (Cd), 27.3 (Co), 42.2 (Ce), 46.8 (Cn), 58.2 (Cb), 117.3 (Cx), 119.4 (Ci), 119.8 (Cw), 121.4 (Cq), 122.2 (Cl), 122.3 (Cz), 122.8 (Ch), 123.1 (Cr), 126.5 (Cs), 126.8 (Ct), 127.5 (Cb’), 129.7 (Ca’), 133.3 (Cg), 137.4 (Cv), 138.9 (Ck), 140.8 (Cu), 147.6 (Cj), 148.2 (Cy), 153.5 (Cp), 155.1 (Cm), 155.7 (Cf). Yield: 67%.  Synthesis of the PSSOs","1-(4-((9,9-dimethyl-9H-fluoren-2-yl)(phenyl)amino)phenyl)-3-(3-(triethoxysilyl)propyl)urea",O=C(NCCC[Si](OCC)(OCC)OCC)NC1=CC=C(N(C2=CC(C(C)(C)C3=C4C=CC=C3)=C4C=C2)C5=CC=CC=C5)C=C1,"1H NMR (400 MHz, DMSO-d6, ppm): δ = 0.51–0.55 (t, 2); 1.10–1.13 (t, 9); 1.30 (s, 6); 1.42–1.50 (quint, 2); 3.01–3.06 (q, 2); 3.69–3.76 (q, 6); 6.10–6.13 (t, 1); 6.85–6.87 (dd, 1); 6.90–6.97 (m, 5); 7.10 (d, 1); 7.18–7.27 (m, 3); 7.33–7.36 (d, 2); 7.42–7.44 (d, 1); 7.62–7.66 (t, 2); 8.38 (s, 1)","13C NMR (100 Hz, DMSO-d 6, δ, ppm): 7.7 (Cc), 18.7 (Ca), 23.8 (Cd), 27.3 (Co), 42.2 (Ce), 46.8 (Cn), 58.2 (Cb), 117.3 (Cx), 119.4 (Ci), 119.8 (Cw), 121.4 (Cq), 122.2 (Cl), 122.3 (Cz), 122.8 (Ch), 123.1 (Cr), 126.5 (Cs), 126.8 (Ct), 127.5 (Cb’), 129.7 (Ca’), 133.3 (Cg), 137.4 (Cv), 138.9 (Ck), 140.8 (Cu), 147.6 (Cj), 148.2 (Cy), 153.5 (Cp), 155.1 (Cm), 155.7 (Cf)","400 MHz, DMSO-d6, ppm","0.51–0.55 (t, 2), 1.10–1.13 (t, 9); 1.30 (s, 6), 1.42–1.50 (quint, 2), 3.01–3.06 (q, 2), 3.69–3.76 (q, 6), 6.10–6.13 (t, 1), 6.85–6.87 (dd, 1), 6.90–6.97 (m, 5), 7.10 (d, 1), 7.18–7.27 (m, 3), 7.33–7.36 (d, 2), 7.42–7.44 (d, 1), 7.62–7.66 (t, 2), 8.38 (s, 1)","100 Hz, DMSO-d 6, δ, ppm","7.7, 18.7, 23.8, 27.3, 42.2, 46.8, 58.2, 117.3, 119.4, 119.8, 121.4, 122.2, 122.3, 122.8, 123.1, 126.5, 126.8, 127.5, 129.7, 133.3, 137.4, 138.9, 140.8, 147.6, 148.2, 153.5, 155.1, 155.7",29116165.0,Sci Rep. 2017 Nov 7; 7:14627,Sci Rep,2017.0,CC BY,2021-01-05 13:53:48,no
PMC7957678,"MTT	3-[4,5-dimethylthiazol-2-yl]-2,5-diphenyltetrazolium bromide Obac	Obacunone OCN	Osteocalcin OPN	Osteopontin OS	Osteogenic supplement medium RUNX2	Runt-related transcription factor 2 Figure 1 Effects of Obac on proliferation in MC3T3-E1. (A) 1H and 13C NMR spectra of Obac from the dried root bark of Dictamnus dasycarpus Turcz. (B) HPLC chromatogram of Obac. (C) Chemical structure of Obac. (D) MC3T3-E1 was incubated with Obac at concentrations of 1, 10, 30, and 100 μM for 24 h, and cell viability was measured by the MTT assay. Data are representative of three independent experiments, and values are expressed in the mean ± S.E.M  Figure 2 Effects of Obac on cell migration in osteoblast differentiation. (A,C) MC3T3-E1 was cultured in osteogenic supplement medium (OS) in the absence or presence of Obac (1–10 µM) for 24 h. Cell migration was observed under a phase contrast microscope (A), and the cell migration rate (fold) was measured by the area enclosing the spreading cell population and expressed as a bar graph (C). (B,D) The Boyden chamber assay was performed and observed under a phase contrast microscope (B), and migration rate (%) was normalized to the control and expressed as a bar graph (D). Data are representative of three independent experiments, and values are expressed as the mean ± S.E.M. * p < 0.05 indicates statistically significant differences, compared with the control. #: statistically significant differences compared with OS (# p < 0.05).",Obac,N/A,1H and 13C NMR spectra of Obac from the dried root bark of Dictamnus dasycarpus Turcz,1H and 13C NMR spectra of Obac from the dried root bark of Dictamnus dasycarpus Turcz,N/A,N/A,N/A,N/A,33801166.0,Int J Mol Sci. 2021 Mar 2; 22(5):2483,Int J Mol Sci,2021.0,CC BY,2021-03-19 23:20:27,no
PMC6271442,"3.6. Synthesis of Tetraethylammonium ((Diphenylphosphorothioyl)-ethynyl)trifluoroborate 6 Sulphur (85 mg, 2.66 mmol) was added to a suspension of potassium ((diphenylphosphino)ethynyl)trifluoroborate 4 in THF (1 mL), and the mixture was stirred at room temperature for 24 h. The solution was filtered via a filter cannula and the solvent evaporated. The residue was then suspended in a 4:1 mixture of DCM and water (3 mL), and a 25% by volume solution of tetraethylammonium hydroxide in water (0.36 mL, 0.73 mmol) was added to the reaction mixture. The biphasic mixture was stirred for 30 min. The organic layer was separated and the aqueous layer washed with DCM (2 × 5 mL). The combined organic fractions were dried over MgSO4 and the solvent evaporated to give tetraethylammonium ((diphenylphosphorothioyl)ethynyl)-trifluoroborate (120 mg, 70%) as a yellow solid. M.p. 97–99 °C. 1H-NMR (250 MHz, CDCl3): δ 1.14 (12H, app. tt, J = 7.0 Hz, J = 1.5 Hz, CH3), 3.12 (8H, q, J = 7.0 Hz, CH2), 7.35–7.48 (6H, m, Ar-H), 7.92–8.02 (4H, m, Ar-H). 13C-NMR (62.9 MHz, CDCl3): δ 7.3, 52.4, 80.0, 128.5 (d, J = 14.3 Hz), 130.7 (d, J = 12.5 Hz), 131.5, 134.7 (d, J = 97.0 Hz). 31P-NMR (101.1 MHz, CDCl3): δ 17.9. FTIR: 3627 (w), 3055 (w), 2991 (m), 2360 (m), 2141 (m), 1480 (s), 1438 (s), 1395 (m), 1174 (s), 1101 (s), 1034 (s) cm−1. HRMS calcd. for C14H10BSF3P [Ph2PSCCBF3−]: 309.0278 Found: 309.0286.",Tetraethylammonium ((Diphenylphosphorothioyl)-ethynyl)trifluoroborate,CC[N+](CC)(CC)CC.F[B-](F)(C#CP(C1=CC=CC=C1)(C2=CC=CC=C2)=S)F,"1H-NMR (250 MHz, CDCl3): δ 1.14 (12H, app. tt, J = 7.0 Hz, J = 1.5 Hz, CH3), 3.12 (8H, q, J = 7.0 Hz, CH2), 7.35–7.48 (6H, m, Ar-H), 7.92–8.02 (4H, m, Ar-H)","13C-NMR (62.9 MHz, CDCl3): δ 7.3, 52.4, 80.0, 128.5 (d, J = 14.3 Hz), 130.7 (d, J = 12.5 Hz), 131.5, 134.7 (d, J = 97.0 Hz)","250 MHz, CDCl3","1.14 (12H, app. tt, J = 7.0 Hz, J = 1.5 Hz, CH3), 3.12 (8H, q, J = 7.0 Hz, CH2), 7.35–7.48 (6H, m, Ar-H), 7.92–8.02 (4H, m, Ar-H)","62.9 MHz, CDCl3","7.3, 52.4, 80.0, 128.5, 130.7, 131.5, 134.7",N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMC7436045,"4.1.1. (E)-1-(2′-Hydroxy-4′,6′-dimethoxyphenyl)-3-(4-methoxyphenylprop-2-en-1-one: (FLA)Yellow needles crystals. Yield 82.4%. m.p 110–112 °C. (Molecular formula C18H18O5). IR (KBr): 1654 (C=O), 3200 (Ar C-H str.), 1590, 1589, 1476, (C=C), 1202 (C-O str.), 850 cm−1. 1H-NMR (CDCl3, 500 MHz): δ 13.6 (s, 1H, OH), 8.02 (d, 1H, J = 15.5 Hz, Hβ), 7.81 (d, 1H, J = 15.5 Hz, Hα), 7.73 (brd, 2H, H-2, 6), 7.49 (d, 2H, H-3, 5), 6.87 (br s, 1H, H-5’), 6.02 (br s, 1H, H-3’), 3.93 (s, 3H, OMe, C-6’), 3.85 (s, 3H, OMe, C-4’), 3.82 (s, 3H, OMe, C-4). 13C-NMR (CDCl3, 125 MHz): δ 192.6 (C=O), 168.7 (C2’), 166.2 (C4’), 163.1 (C6’), 160.9 (C4), 141.6 (Cβ), 130.1(C2, C6), 127.5 (C1), 125.4 (Cα), 114.3 (C3, C5), 93.56 (C3’), 91.4 (C5’), 55.79 (OCH3), 55.53 (OCH3), 55.35 (OCH3). EI-MS m/z 298.33.","(E)-1-(2′-Hydroxy-4′,6′-dimethoxyphenyl)-3-(4-methoxyphenylprop-2-en-1-one",N/A,"1H-NMR (CDCl3, 500 MHz): δ 13.6 (s, 1H, OH), 8.02 (d, 1H, J = 15.5 Hz, Hβ), 7.81 (d, 1H, J = 15.5 Hz, Hα), 7.73 (brd, 2H, H-2, 6), 7.49 (d, 2H, H-3, 5), 6.87 (br s, 1H, H-5’), 6.02 (br s, 1H, H-3’), 3.93 (s, 3H, OMe, C-6’), 3.85 (s, 3H, OMe, C-4’), 3.82 (s, 3H, OMe, C-4)","13C-NMR (CDCl3, 125 MHz): δ 192.6 (C=O), 168.7 (C2’), 166.2 (C4’), 163.1 (C6’), 160.9 (C4), 141.6 (Cβ), 130.1(C2, C6), 127.5 (C1), 125.4 (Cα), 114.3 (C3, C5), 93.56 (C3’), 91.4 (C5’), 55.79 (OCH3), 55.53 (OCH3), 55.35 (OCH3)","CDCl3, 500 MHz","13.6 (s, 1H, OH), 8.02 (d, 1H, J = 15.5 Hz, Hβ), 7.81 (d, 1H, J = 15.5 Hz, Hα), 7.73 (brd, 2H, H-2, 6), 7.49 (d, 2H, H-3, 5), 6.87 (br s, 1H, H-5’), 6.02 (br s, 1H, H-3’), 3.93 (s, 3H, OMe, C-6’), 3.85 (s, 3H, OMe, C-4’), 3.82 (s, 3H, OMe, C-4)","CDCl3, 125 MHz","192.6, 168.7, 166.2, 163.1, 160.9, 141.6, 130.1, 127.5, 125.4, 114.3, 93.56, 91.4, 55.79, 55.53, 55.35",32731323.0,Molecules. 2020 Jul 28; 25(15):3403,Molecules,2020.0,CC BY,2021-01-06 10:48:18,no
PMC10102081,"The following procedure was adapted from Kouklovsky et al. (1990). A dry flask flushed with Ar was charged with (1S)-camphorquinone (5.83 g, 35.1 mmol, 1 eq) and dry THF (200 mL), then cooled to −78 °C. L-Selectride (1 M in THF, 42 mmol, 1.20 eq; MilliporeSigma, St. Louis MO, USA) was added over 1 h, and the mixture was stirred an additional 5 min. The reaction was quenched by addition of 3 M HCl in methanol (16 mL) over 10 min at −78 °C, then allowed to warm to room temperature. The resulting mixture was diluted with brine (500 mL) and the products were extracted with dichloromethane (4 × 200 mL). The combined organic layers were dried, concentrated, and purified by vacuum flash chromatography (5% - 25% EtOAc/Hexanes). The fractions rich in the desired product were concentrated and subjected to flash column chromatography (20% EtOAc/Hexanes) to partially separate the isomers of hydroxycamphor. The resulting material was sublimed with a Kugelrohr distillation apparatus (55 °C, 0.1 Torr), yielding 397 mg (7%) of (1S)-exo-2, 92% isomerically pure (NMR). Impure fractions were consolidated and purified again by flash chromatography to yield an additional 298 mg of (1S)-exo-2, ~95% isomerically pure. 1H NMR (500 MHz, CDCl3) δ 3.72 (s, 1H), 3.28 (bs, 1H), 2.06 (d, J = 4.7 Hz, 1H), 2.02–1.91 (dddd, 1H), 1.62 (ddd, 1H), 1.46–1.29 (m, 2H), 0.96 (s, 3H), 0.91 (s, 3H), 0.89 (s, 3H). 13C NMR (126 MHz, CDCl3) δ 220.51, 77.26, 57.01, 49.22, 46.71, 28.51, 25.10, 20.94, 19.98, 8.95. EI-GC/MS m/z (%): 168 (M+, 32), 153 (2), 140 (9), 125 (42), 107 (10), 100 (14), 84 (92), 83 (100), 69 (38), 57 (19), 55 (51), 43 (14), 41 (37).  Davis Oxidation of Camphor",(1S)-exo-2,N/A,"1H NMR (500 MHz, CDCl3) δ 3.72 (s, 1H), 3.28 (bs, 1H), 2.06 (d, J = 4.7 Hz, 1H), 2.02–1.91 (dddd, 1H), 1.62 (ddd, 1H), 1.46–1.29 (m, 2H), 0.96 (s, 3H), 0.91 (s, 3H), 0.89 (s, 3H)","13C NMR (126 MHz, CDCl3) δ 220.51, 77.26, 57.01, 49.22, 46.71, 28.51, 25.10, 20.94, 19.98, 8.95","500 MHz, CDCl3","3.72 (s, 1H), 3.28 (bs, 1H), 2.06 (d, J = 4.7 Hz, 1H), 2.02–1.91 (dddd, 1H), 1.62 (ddd, 1H), 1.46–1.29 (m, 2H), 0.96 (s, 3H), 0.91 (s, 3H), 0.89 (s, 3H)","126 MHz, CDCl3","220.51, 77.26, 57.01, 49.22, 46.71, 28.51, 25.10, 20.94, 19.98, 8.95",N/A,N/A,N/A,N/A,N/A,N/A,N/A
